timestamp,left_elevon_ted_cdeg,right_elevon_ted_cdeg,lower_rudder_tel_cdeg,upper_rudder_tel_cdeg,left_tvc_upper_cdeg,left_tvc_lower_cdeg,right_tvc_upper_cdeg,right_tvc_lower_cdeg,left_engine_prct_thrust,right_engine_prct_thrust
3316390,0,0,0,0,-530.9245,-227.78722,-102.5519,-599.4146,7.8810306,7.8810306
3316392,0,0,0,0,-527.64667,-231.50682,-96.21164,-600.07184,7.8810306,7.8810306
3316394,0,0,0,0,-533.0901,-231.78697,-97.83345,-596.53033,7.8810306,7.8810306
3316396,0,0,0,0,-533.33093,-229.88254,-101.74091,-598.29254,7.8810306,7.8810306
3316398,0,0,0,0,-528.1382,-229.56862,-101.74179,-603.17224,7.8810306,7.8810306
3316400,0,0,0,0,-529.7631,-229.81497,-101.6113,-601.66315,7.8810306,7.8810306
3316402,0,0,0,0,-533.0887,-230.99759,-103.498116,-601.40704,7.8810306,7.8810306
3316404,0,0,0,0,-530.5591,-225.93861,-106.38694,-601.7665,7.8810306,7.8810306
3316406,0,0,0,0,-529.6009,-230.76744,-96.758995,-597.92554,7.8810306,7.8810306
3316408,0,0,0,0,-530.23663,-225.8219,-98.72097,-594.3063,7.8810306,7.8810306
3316410,0,0,0,0,-530.2563,-225.6527,-101.309525,-596.70593,7.8810306,7.8810306
3316412,0,0,0,0,-525.8474,-227.51895,-107.83014,-609.5017,7.8810306,7.8810306
3316414,0,0,0,0,-531.7524,-234.5607,-104.05258,-606.8609,7.8810306,7.8810306
3316416,0,0,0,0,-532.6468,-231.42198,-104.998116,-603.7733,7.8810306,7.8810306
3316418,0,0,0,0,-524.7387,-222.11386,-100.69572,-598.07086,7.8810306,7.8810306
3316420,0,0,0,0,-529.3249,-224.34047,-98.42398,-593.4396,7.8810306,7.8810306
3316422,0,0,0,0,-531.2021,-226.25682,-97.76444,-592.8192,7.8810306,7.8810306
3316424,0,0,0,0,-531.54956,-229.51457,-101.86154,-599.8266,7.8810306,7.8810306
3316426,0,0,0,0,-526.7661,-230.49817,-102.65656,-606.3886,7.8810306,7.8810306
3316428,0,0,0,0,-531.94934,-237.09206,-95.01082,-600.15356,7.8810306,7.8810306
3316430,0,0,0,0,-533.5776,-228.98378,-100.92863,-596.33484,7.8810306,7.8810306
3316432,0,0,0,0,-525.557,-221.66763,-104.989044,-601.0997,7.8810306,7.8810306
3316434,0,0,0,0,-530.6938,-229.17896,-99.453285,-597.9385,7.8810306,7.8810306
3316436,0,0,0,0,-529.386,-232.46718,-95.810646,-598.89185,7.8810306,7.8810306
3316438,0,0,0,0,-530.1173,-231.59682,-100.78252,-602.262,7.8810306,7.8810306
3316440,0,0,0,0,-528.561,-233.334,-99.59441,-604.36743,7.8810306,7.8810306
3316442,0,0,0,0,-532.4564,-235.61998,-100.500465,-603.66406,7.8810306,7.8810306
3316444,0,0,0,0,-527.76843,-229.29369,-97.79556,-599.3208,7.8810306,7.8810306
3316446,0,0,0,0,-525.6407,-230.68985,-95.600136,-600.6493,7.8810306,7.8810306
3316448,0,0,0,0,-532.0455,-228.89351,-98.015564,-594.8636,7.8810306,7.8810306
3316450,0,0,0,0,-525.98047,-228.09076,-98.85684,-600.9671,7.8810306,7.8810306
3316452,0,0,0,0,-515.7982,-227.35193,-85.36889,-596.9226,7.8810306,7.8810306
3316454,0,0,0,0,-523.6916,-233.85129,-78.4509,-588.61066,7.8810306,7.8810306
3316456,0,0,0,0,-535.23083,-241.25238,-91.48065,-597.5022,7.8810306,7.8810306
3316458,0,0,0,0,-527.13257,-228.03206,-104.93365,-605.8331,7.8810306,7.8810306
3316460,0,0,0,0,-519.12164,-223.89232,-89.924,-594.69464,7.8810306,7.8810306
3316462,0,0,0,0,-547.17596,-245.4411,-85.089775,-583.3549,7.8810306,7.8810306
3316464,0,0,0,0,-554.6126,-246.12146,-102.299965,-593.80884,7.8810306,7.8810306
3316466,0,0,0,0,-538.1609,-229.80843,-117.09133,-608.7389,7.8810306,7.8810306
3316468,0,0,0,0,-521.11176,-224.36594,-107.69728,-610.9515,7.8810306,7.8810306
3316470,0,0,0,0,-519.1283,-230.14238,-99.74809,-610.7622,7.8810306,7.8810306
3316472,0,0,0,0,-523.7674,-234.3677,-103.799835,-614.40015,7.8810306,7.8810306
3316474,0,0,0,0,-515.9079,-232.05742,-111.20335,-627.35284,7.8810306,7.8810306
3316476,0,0,0,0,-508.13712,-214.87842,-111.947426,-618.6887,7.8810306,7.8810306
3316478,0,0,0,0,-511.3027,-212.07837,-92.14351,-592.9192,7.8810306,7.8810306
3316480,0,0,0,0,-509.93704,-201.90033,-92.012985,-583.97626,7.8810306,7.8810306
3316482,0,0,0,0,-519.3265,-216.86847,-94.84012,-592.38214,7.8810306,7.8810306
3316484,0,0,0,0,-538.3527,-233.0233,-89.19083,-583.86145,7.8810306,7.8810306
3316486,0,0,0,0,-550.61115,-252.53343,-84.50166,-586.42395,7.8810306,7.8810306
3316488,0,0,0,0,-552.0949,-250.61942,-94.147194,-592.6717,7.8810306,7.8810306
3316490,0,0,0,0,-538.73706,-238.3555,-96.54384,-596.1623,7.8810306,7.8810306
3316492,0,0,0,0,-536.9247,-236.91702,-97.15376,-597.14606,7.8810306,7.8810306
3316494,0,0,0,0,-536.699,-241.4696,-97.99078,-602.76135,7.8810306,7.8810306
3316496,0,0,0,0,-529.5163,-235.79982,-99.24239,-605.52594,7.8810306,7.8810306
3316498,0,0,0,0,-522.889,-222.51025,-110.125404,-609.7467,7.8810306,7.8810306
3316500,0,0,0,0,-529.67426,-221.9263,-111.24179,-603.49384,7.8810306,7.8810306
3316502,0,0,0,0,-519.67206,-207.987,-109.26218,-597.57715,7.8810306,7.8810306
3316504,0,0,0,0,-507.58603,-190.42058,-108.99849,-591.83307,7.8810306,7.8810306
3316506,0,0,0,0,-492.33997,-190.28021,-87.02725,-584.96747,7.8810306,7.8810306
3316508,0,0,0,0,-502.8885,-211.60155,-81.1542,-589.86725,7.8810306,7.8810306
3316510,0,0,0,0,-536.5086,-245.26576,-103.33576,-612.0929,7.8810306,7.8810306
3316512,0,0,0,0,-593.1849,-289.0585,-119.68578,-615.55945,7.8810306,7.8810306
3316514,0,0,0,0,-617.36743,-311.84616,-103.94924,-598.428,7.8810306,7.8810306
3316516,0,0,0,0,-595.0334,-298.76523,-71.77785,-575.5097,7.8810306,7.8810306
3316518,0,0,0,0,-577.0059,-275.85706,-65.85681,-564.70795,7.8810306,7.8810306
3316520,0,0,0,0,-551.19574,-249.87376,-74.908295,-573.5863,7.8810306,7.8810306
3316522,0,0,0,0,-539.76636,-225.81763,-105.28109,-591.3324,7.8810306,7.8810306
3316524,0,0,0,0,-516.9406,-207.47337,-137.548,-628.08075,7.8810306,7.8810306
3316526,0,0,0,0,-479.11047,-179.3693,-151.11559,-651.3744,7.8810306,7.8810306
3316528,0,0,0,0,-462.79962,-164.05774,-131.72975,-632.98785,7.8810306,7.8810306
3316530,0,0,0,0,-468.1325,-162.01144,-102.15898,-596.03796,7.8810306,7.8810306
3316532,0,0,0,0,-475.1206,-166.66238,-104.87284,-596.4146,7.8810306,7.8810306
3316534,0,0,0,0,-494.39532,-174.98111,-109.4443,-590.0301,7.8810306,7.8810306
3316536,0,0,0,0,-528.45856,-201.53606,-107.759926,-580.83746,7.8810306,7.8810306
3316538,0,0,0,0,-564.7686,-233.24158,-101.942696,-570.41565,7.8810306,7.8810306
3316540,0,0,0,0,-564.5215,-242.81512,-102.46098,-580.7546,7.8810306,7.8810306
3316542,0,0,0,0,-570.1919,-271.18057,-107.33701,-608.32574,7.8810306,7.8810306
3316544,0,0,0,0,-576.0929,-293.65207,-89.59157,-607.15076,7.8810306,7.8810306
3316546,0,0,0,0,-562.3964,-272.74603,-81.19321,-591.54285,7.8810306,7.8810306
3316548,0,0,0,0,-541.23303,-242.26411,-91.000565,-592.0316,7.8810306,7.8810306
3316550,0,0,0,0,-525.4344,-230.07306,-89.188515,-593.8272,7.8810306,7.8810306
3316552,0,0,0,0,-522.41003,-212.59052,-95.21635,-585.3968,7.8810306,7.8810306
3316554,0,0,0,0,-522.558,-209.2864,-111.47579,-598.2042,7.8810306,7.8810306
3316556,0,0,0,0,-517.7237,-208.54878,-116.09126,-606.9163,7.8810306,7.8810306
3316558,0,0,0,0,-501.84662,-203.26884,-111.01342,-612.43567,7.8810306,7.8810306
3316560,0,0,0,0,-486.92188,-216.3189,-90.97533,-620.3724,7.8810306,7.8810306
3316562,0,0,0,0,-506.72705,-235.39964,-85.49334,-614.16595,7.8810306,7.8810306
3316564,0,0,0,0,-553.68243,-259.0242,-94.50132,-599.8431,7.8810306,7.8810306
3316566,0,0,0,0,-570.0243,-261.62866,-95.734764,-587.3392,7.8810306,7.8810306
3316568,0,0,0,0,-563.51013,-251.9432,-81.72512,-570.1582,7.8810306,7.8810306
3316570,0,0,0,0,-547.99854,-232.69958,-75.81723,-560.51825,7.8810306,7.8810306
3316572,0,0,0,0,-526.59973,-223.27438,-79.37295,-576.0476,7.8810306,7.8810306
3316574,0,0,0,0,-521.1758,-226.2426,-105.09252,-610.1593,7.8810306,7.8810306
3316576,0,0,0,0,-530.8941,-245.44186,-113.70173,-628.2495,7.8810306,7.8810306
3316578,0,0,0,0,-537.15125,-248.8701,-120.380905,-632.09973,7.8810306,7.8810306
3316580,0,0,0,0,-517.40784,-229.81812,-118.60922,-631.0195,7.8810306,7.8810306
3316582,0,0,0,0,-483.75708,-198.2431,-101.43458,-615.9206,7.8810306,7.8810306
3316584,0,0,0,0,-482.09204,-185.61655,-90.47597,-594.0005,7.8810306,7.8810306
3316586,0,0,0,0,-502.77063,-200.10268,-92.59635,-589.9284,7.8810306,7.8810306
3316588,0,0,0,0,-519.8012,-217.62032,-92.733284,-590.55237,7.8810306,7.8810306
3316590,0,0,0,0,-534.8506,-237.29572,-93.84706,-596.2922,7.8810306,7.8810306
3316592,0,0,0,0,-540.11053,-246.72827,-88.280495,-594.89825,7.8810306,7.8810306
3316594,0,0,0,0,-554.32556,-253.59756,-90.686104,-589.9581,7.8810306,7.8810306
3316596,0,0,0,0,-574.56793,-250.90659,-115.18766,-591.5263,7.8810306,7.8810306
3316598,0,0,0,0,-581.1335,-252.32932,-123.90906,-595.1049,7.8810306,7.8810306
3316600,0,0,0,0,-574.0232,-237.66888,-120.70455,-584.3502,7.8810306,7.8810306
3316602,0,0,0,0,-530.46875,-210.5932,-90.7976,-570.922,7.8810306,7.8810306
3316604,0,0,0,0,-491.1463,-191.44432,-73.85831,-574.1563,7.8810306,7.8810306
3316606,0,0,0,0,-491.36816,-210.12032,-91.46519,-610.21735,7.8810306,7.8810306
3316608,0,0,0,0,-513.81537,-240.93793,-116.039665,-643.16223,7.8810306,7.8810306
3316610,0,0,0,0,-534.75836,-253.43756,-137.86058,-656.5398,7.8810306,7.8810306
3316612,0,0,0,0,-534.7203,-245.37979,-124.42962,-635.0891,7.8810306,7.8810306
3316614,0,0,0,0,-521.0846,-222.56262,-97.37341,-598.85144,7.8810306,7.8810306
3316616,0,0,0,0,-517.4008,-211.39365,-75.90744,-569.90027,7.8810306,7.8810306
3316618,0,0,0,0,-515.7427,-204.2041,-75.80327,-564.2647,7.8810306,7.8810306
